,RunNumber,Staves,Rows,PedestalValue
0,293533,1A,M1B,0.5302119582410629
1,293533,1A,M1T,0.4459031951913951
2,293533,1A,M2B,0.52483391331857
3,293533,1A,M2T,0.451439417905726
4,293533,1A,M3B,0.3805757671622904
5,293533,1A,M3T,0.3707687440683328
6,293533,1A,M4B,0.42075292628914895
7,293533,1A,M4T,0.39259727934198035
8,293533,1A,S1B,0.4742170199304018
9,293533,1A,S1T,0.45112306232204996
10,293533,1A,S2B,0.5351154697880417
11,293533,1A,S2T,0.47912053147738054
12,293533,1A,S3B,0.5536222714330907
13,293533,1A,S3T,0.4106295476115153
14,293533,1A,S4B,0.40177159126858586
15,293533,1A,S4T,0.5210376463144575
16,293533,1C,M1B,0.45839924074659916
17,293533,1C,M1T,0.45839924074659916
18,293533,1C,M2B,0.37804492249288196
19,293533,1C,M2T,0.38405567858272693
20,293533,1C,M3B,0.3805757671622904
21,293533,1C,M3T,0.3767795001581778
22,293533,1C,M4B,0.39797532426447324
23,293533,1C,M4T,0.5200885795634292
24,293533,1C,S1B,0.49019297690604235
25,293533,1C,S1T,0.48481493198354947
26,293533,1C,S2B,0.45824106295476114
27,293533,1C,S2T,0.44384688389750077
28,293533,1C,S3B,0.45839924074659916
29,293533,1C,S3T,0.39069914583992404
30,293533,1C,S4B,0.49731097753875353
31,293533,1C,S4T,0.4982600442897817
32,293533,2A,M1B,0.4769060423916482
33,293533,2A,M1T,0.5041126225877887
34,293533,2A,M2B,0.41379310344827586
35,293533,2A,M2T,0.4077823473584309
36,293533,2A,M3B,0.3786776336602341
37,293533,2A,M3T,0.36159443214172726
38,293533,2A,M4B,0.43530528313824735
39,293533,2A,M4T,0.49604555520404936
40,293533,2A,S1B,0.4824422651059791
41,293533,2A,S1T,0.46678266371401456
42,293533,2A,S2B,0.38184118949699464
43,293533,2A,S2T,0.44637772856690916
44,293533,2A,S3B,0.37709585574185384
45,293533,2A,S3T,0.390382790256248
46,293533,2A,S4B,0.390382790256248
47,293533,2A,S4T,0.390382790256248
48,293533,2C,M1B,0.44922492881999365
49,293533,2C,M1T,0.4640936412527681
50,293533,2C,M2B,0.48750395444479594
51,293533,2C,M2T,0.37899398924391015
52,293533,2C,M3B,0.3777285669092059
53,293533,2C,M3T,0.37899398924391015
54,293533,2C,M4B,0.4150585257829801
55,293533,2C,M4T,0.5406516925023727
56,293533,2C,S1B,0.4661499525466624
57,293533,2C,S1T,0.48639670990192974
58,293533,2C,S2B,0.4185384372034166
59,293533,2C,S2T,0.3805757671622904
60,293533,2C,S3B,0.4074659917747548
61,293533,2C,S3T,0.38089212274596645
62,293533,2C,S4B,0.38089212274596645
63,293533,2C,S4T,0.38089212274596645
64,293533,3A,M1B,0.5317937361594431
65,293533,3A,M1T,0.4833913318570073
66,293533,3A,M2B,0.36981967731730464
67,293533,3A,M2T,0.4824422651059791
68,293533,3A,M3B,0.38405567858272693
69,293533,3A,M3T,0.4599810186649794
70,293533,3A,M4B,0.3739322999050933
71,293533,3A,M4T,0.5400189813350206
72,293533,3A,S1B,0.5302119582410629
73,293533,3A,S1T,0.4580828851629231
74,293533,3A,S2B,0.3758304334071496
75,293533,3A,S2T,0.49003479911420433
76,293533,3A,S3B,0.39797532426447324
77,293533,3A,S3T,0.47295159759569755
78,293533,3A,S4B,0.47295159759569755
79,293533,3A,S4T,0.47295159759569755
80,293533,3C,M1B,0.45839924074659916
81,293533,3C,M1T,0.45713381841189493
82,293533,3C,M2B,0.5017399557102182
83,293533,3C,M2T,0.45650110724454285
84,293533,3C,M3B,0.5131287567225561
85,293533,3C,M3T,0.4950964884530212
86,293533,3C,M4B,0.5397026257513445
87,293533,3C,M4T,0.5428661815881051
88,293533,3C,S1B,0.457450173995571
89,293533,3C,S1T,0.45839924074659916
90,293533,3C,S2B,0.5352736475798797
91,293533,3C,S2T,0.5286301803226827
92,293533,3C,S3B,0.5134451123062321
93,293533,3C,S3T,0.451439417905726
94,293533,3C,S4B,0.451439417905726
95,293533,3C,S4T,0.451439417905726
96,293533,4A,M1B,0.5007908889591901
97,293533,4A,M1T,0.45839924074659916
98,293533,4A,M2B,0.3774122113255299
